name,id
ほっかいどう,北海道
あおもり,青森
いわて,岩手
みやぎ,宮城
あきた,秋田
やまがた,山形
ふくしま,福島
いばらき,茨城
とちぎ,栃木
ぐんま,群馬
さいたま,埼玉
ちば,千葉
とうきょう,東京
かながわ,神奈川
にいがた,新潟
とやま,富山
いしかわ,石川
ふくい,福井
やまなし,山梨
ながの,長野
ぎふ,岐阜
しずおか,静岡
あいち,愛知
みえ,三重
しが,滋賀
きょうと,京都
おおさか,大阪
ひょうご,兵庫
なら,奈良
わかやま,和歌山
とっとり,鳥取
しまね,島根
おかやま,岡山
ひろしま,広島
やまぐち,山口
とくしま,徳島
かがわ,香川
えひめ,愛媛
こうち,高知
ふくおか,福岡
さが,佐賀
ながさき,長崎
くまもと,熊本
おおいた,大分
みやざき,宮崎
かごしま,鹿児島
おきなわ,沖縄
hokkaido,北海道
aomori,青森
iwate,岩手
miyagi,宮城
akita,秋田
yamagata,山形
fukushima,福島
ibaraki,茨城
tochigi,栃木
gumma,群馬
saitama,埼玉
chiba,千葉
tokyo,東京
kanagawa,神奈川
niigata,新潟
toyama,富山
ishikawa,石川
fukui,福井
yamanashi,山梨
nagano,長野
gifu,岐阜
shizuoka,静岡
aichi,愛知
mie,三重
shiga,滋賀
kyoto,京都
osaka,大阪
hyogo,兵庫
nara,奈良
wakayama,和歌山
tottori,鳥取
shimane,島根
okayama,岡山
hiroshima,広島
yamaguchi,山口
tokushima,徳島
kagawa,香川
ehime,愛媛
kochi,高知
fukuoka,福岡
saga,佐賀
nagasaki,長崎
kumamoto,熊本
oita,大分
miyazaki,宮崎
kagoshima,鹿児島
okinawa,沖縄
北海道,北海道
青森,青森
岩手,岩手
宮城,宮城
秋田,秋田
山形,山形
福島,福島
茨城,茨城
栃木,栃木
群馬,群馬
埼玉,埼玉
千葉,千葉
東京,東京
神奈川,神奈川
新潟,新潟
富山,富山
石川,石川
福井,福井
山梨,山梨
長野,長野
岐阜,岐阜
静岡,静岡
愛知,愛知
三重,三重
滋賀,滋賀
京都,京都
大阪,大阪
兵庫,兵庫
奈良,奈良
和歌山,和歌山
鳥取,鳥取
島根,島根
岡山,岡山
広島,広島
山口,山口
徳島,徳島
香川,香川
愛媛,愛媛
高知,高知
福岡,福岡
佐賀,佐賀
長崎,長崎
熊本,熊本
大分,大分
宮崎,宮崎
鹿児島,鹿児島
沖縄,沖縄
